character,episode,num_lines,
Ford,16,0,Carpet Diem
Ford,17,0,Boyz Crazy
Ford,18,0,Land Before Swine
Ford,19,0,Dreamscaperers
Ford,20,0,Gideon Rises
Ford,21,0,Scary-oke
Ford,22,0,Into the Bunker
Ford,23,0,The Golf War
Ford,24,0,Sock Opera
Ford,25,0,Soos and the Real Girl
Ford,26,0,Little Gift Shop of Horrors
Ford,27,0,Society of the Blind Eye
Ford,28,0,Blendin's Game
Ford,29,0,The Love God
Ford,30,0,Northwest Mansion Mystery
Ford,31,0,Not What He Seems
Ford,32,69,A Tale of Two Stans
Ford,33,37,"Dungeons, Dungeons, and More Dungeons"
Ford,34,6,The Stanchurian Candidate
Ford,35,44,The Last Mabelcorn
Ford,36,0,Roadside Attraction
Ford,37,47,Dipper and Mabel vs. the Future
Ford,38,11,Weirdmageddon Part 1
Ford,39,0,Weirdmageddon 2: Escape From Reality
Ford,40,48,Weirdmageddon 3: Take Back The Falls
Mabel,1,80,Tourist Trapped
Mabel,2,62,The Legend of the Gobblewonker
Mabel,3,68,Headhunters
Mabel,4,77,The Hand That Rocks the Mabel
Mabel,5,31,The Inconveniencing
Mabel,6,34,Dipper vs. Manliness
Mabel,7,32,Double Dipper
Mabel,8,59,Irrational Treasure
Mabel,9,73,The Time Traveler's Pig
Mabel,10,30,Fight Fighters
Mabel,11,64,Little Dipper
Mabel,12,57,Summerween
Mabel,13,78,Boss Mabel
Mabel,14,52,Bottomless Pit!
Mabel,15,65,The Deep End
Mabel,16,88,Carpet Diem
Mabel,17,58,Boyz Crazy
Mabel,18,56,Land Before Swine
Mabel,19,57,Dreamscaperers
Mabel,20,37,Gideon Rises
Mabel,21,38,Scary-oke
Mabel,22,38,Into the Bunker
Mabel,23,62,The Golf War
Mabel,24,62,Sock Opera
Mabel,25,31,Soos and the Real Girl
Mabel,26,41,Little Gift Shop of Horrors
Mabel,27,31,Society of the Blind Eye
Mabel,28,57,Blendin's Game
Mabel,29,52,The Love God
Mabel,30,22,Northwest Mansion Mystery
Mabel,31,49,Not What He Seems
Mabel,32,14,A Tale of Two Stans
Mabel,33,42,"Dungeons, Dungeons, and More Dungeons"
Mabel,34,31,The Stanchurian Candidate
Mabel,35,44,The Last Mabelcorn
Mabel,36,21,Roadside Attraction
Mabel,37,47,Dipper and Mabel vs. the Future
Mabel,38,0,Weirdmageddon Part 1
Mabel,39,41,Weirdmageddon 2: Escape From Reality
Mabel,40,44,Weirdmageddon 3: Take Back The Falls
Robbie,1,0,Tourist Trapped
Robbie,2,0,The Legend of the Gobblewonker
Robbie,3,0,Headhunters
Robbie,4,0,The Hand That Rocks the Mabel
Robbie,5,19,The Inconveniencing
Robbie,6,0,Dipper vs. Manliness
Robbie,7,2,Double Dipper
Robbie,8,0,Irrational Treasure
Robbie,9,15,The Time Traveler's Pig
Robbie,10,37,Fight Fighters
Robbie,11,0,Little Dipper
Robbie,12,4,Summerween
Robbie,13,0,Boss Mabel
Robbie,14,0,Bottomless Pit!
Robbie,15,0,The Deep End
Robbie,16,0,Carpet Diem
Robbie,17,19,Boyz Crazy
Robbie,18,0,Land Before Swine
Robbie,19,0,Dreamscaperers
Robbie,20,2,Gideon Rises
Robbie,21,0,Scary-oke
Robbie,22,0,Into the Bunker
Robbie,23,1,The Golf War
Robbie,24,0,Sock Opera
Robbie,25,0,Soos and the Real Girl
Robbie,26,0,Little Gift Shop of Horrors
Robbie,27,1,Society of the Blind Eye
Robbie,28,1,Blendin's Game
Robbie,29,19,The Love God
Robbie,30,0,Northwest Mansion Mystery
Robbie,31,0,Not What He Seems
Robbie,32,0,A Tale of Two Stans
Robbie,33,0,"Dungeons, Dungeons, and More Dungeons"
Robbie,34,0,The Stanchurian Candidate
Robbie,35,0,The Last Mabelcorn
Robbie,36,0,Roadside Attraction
Robbie,37,0,Dipper and Mabel vs. the Future
Robbie,38,0,Weirdmageddon Part 1
Robbie,39,0,Weirdmageddon 2: Escape From Reality
Robbie,40,4,Weirdmageddon 3: Take Back The Falls
Soos,1,11,Tourist Trapped
